session_id,label,idx,loop_r_ohm,mq2_raw,temp_c,humidity_pct
tobacco_09,tobacco,1,267.4,8883,28.1,70.0
tobacco_09,tobacco,2,267.3,8935,28.1,69.9
tobacco_09,tobacco,3,267.4,8935,28.1,71.1
tobacco_09,tobacco,4,267.3,9055,28.0,71.7
tobacco_09,tobacco,5,267.3,9454,28.1,72.7
tobacco_09,tobacco,6,267.3,9431,28.1,75.8
tobacco_09,tobacco,7,267.2,9380,28.1,76.4
tobacco_09,tobacco,8,267.2,9747,28.1,74.9
tobacco_09,tobacco,9,267.2,9816,28.1,75.9
tobacco_09,tobacco,10,267.2,10004,28.1,74.8
tobacco_09,tobacco,11,267.1,10137,28.1,75.2
tobacco_09,tobacco,12,267.2,10071,28.1,75.7
tobacco_09,tobacco,13,267.2,10114,28.2,75.1
tobacco_09,tobacco,14,267.1,10161,28.1,74.9
tobacco_09,tobacco,15,267.1,10702,28.2,74.6
tobacco_09,tobacco,16,267.1,11063,28.2,74.3
tobacco_09,tobacco,17,267.1,11388,28.2,74.5
tobacco_09,tobacco,18,267.0,11375,28.2,74.7
tobacco_09,tobacco,19,267.0,11532,28.2,73.8
tobacco_09,tobacco,20,267.0,11703,28.2,73.3
tobacco_09,tobacco,21,267.1,11763,28.2,73.5
tobacco_09,tobacco,22,267.0,12008,28.2,74.4
tobacco_09,tobacco,23,267.0,11901,28.2,74.4
tobacco_10,tobacco,0,267.0,9100,27.8,70.6
tobacco_10,tobacco,1,267.0,9079,27.8,70.8
tobacco_10,tobacco,2,267.1,9052,27.8,70.9
tobacco_10,tobacco,3,267.1,9030,27.8,70.9
tobacco_10,tobacco,4,267.1,9286,27.8,70.5
tobacco_10,tobacco,5,267.1,9656,27.8,71.7
tobacco_10,tobacco,6,267.0,9985,27.8,73.5
tobacco_10,tobacco,7,267.0,10307,27.8,74.3
tobacco_10,tobacco,8,266.9,10460,27.8,74.8
tobacco_10,tobacco,9,266.9,10597,27.8,75.1
tobacco_10,tobacco,10,266.8,10676,27.8,75.7
tobacco_10,tobacco,11,266.9,10715,27.8,75.8
tobacco_10,tobacco,12,266.8,10661,27.8,76.5
tobacco_10,tobacco,13,266.9,10699,27.8,75.7
tobacco_10,tobacco,14,267.0,10643,27.8,75.4
tobacco_10,tobacco,15,267.0,10608,27.8,75.2
tobacco_10,tobacco,16,266.9,10573,27.8,74.9
tobacco_10,tobacco,17,267.0,10576,27.8,75.0
tobacco_10,tobacco,18,267.0,10618,27.8,75.4
tobacco_10,tobacco,19,267.0,10573,27.8,75.2
tobacco_10,tobacco,20,267.1,10587,27.8,75.1
tobacco_10,tobacco,21,267.0,10513,27.8,74.9
tobacco_10,tobacco,22,267.0,10600,27.8,74.5
tobacco_10,tobacco,23,267.0,10529,27.8,75.2
tobacco_10,tobacco,24,267.0,10490,27.8,74.3
tobacco_10,tobacco,25,267.0,10623,27.8,74.1
tobacco_10,tobacco,26,267.1,10580,27.8,75.1
tobacco_10,tobacco,27,267.0,10501,27.8,74.6
